User,Location,Num_Repos,Num_Stars,Num_Followers,Num_Following
aulanov," Seattle, WA ",14,6,65,0
avamsi, India ,26,20,39,4
aviramsegal,Unknown,2,7,64,0
avnishb,Unknown,1,1,31,0
awan1," Palo Alto, CA ",14,0,42,0
awbraunstein, San Francisco ,35,90,110,78
Awk34," Mountain View, CA ",76,992,108,108
awkoren," Seattle, WA ",6,15,38,0
awly, Seattle ,31,16,30,30
AWoloszyn,Unknown,8,4,72,0
aymanfarhat, Dubai ,20,1.3k,155,310
azakonovg, Seattle ,1,0,3,0
badboot," Sunnyvale, CA ",1,1,16,0
balopat," New York, New York ",64,40,30,13
bamnet," New York, NY, USA ",34,45,109,56
barney-s,Unknown,33,40,13,0
BarretZoph,Unknown,7,1,69,0
barrtender,Unknown,15,2,21,0
bartvm, Montreal ,50,80,108,0
bathterror,Unknown,1,0,44,1
battre,Unknown,2,0,22,0
bbamsch," San Jose, CA ",20,29,16,0
bbarenblat," Cambridge, Massachusetts ",52,37,33,28
bbf, Brazil ,3,29,15,2
bcat," Bartlett, IL, United States ",14,40,91,18
bcspragu," San Francisco, CA ",44,16,78,0
bdash," Lakeport, CA ",7,1,34,0
bdbauer,Unknown,3,0,35,0
bdero," SF Bay Area, CA ",125,265,48,20
beamcodeup,Unknown,1,2,11,0
beaufortfrancois," Paris, France ",149,59,655,18
beccca," Seattle, WA ",74,68,217,41
beckula,Unknown,3,2,39,0
behdad," Menlo Park, California ",53,363,696,138
bejado," San Francisco, California ",16,49,8,2
beloglazov," San Francisco, USA ",46,809,157,25
ben-clayton," London, England ",5,4,88,1
benbaxter,Unknown,25,1,34,8
benbenoy,Unknown,1,0,31,0
bencalabrese,Unknown,43,1,16,1
BenDiuguid," Seattle, WA ",35,281,29,17
bendory,Unknown,5,4,22,0
benhead, New York ,3,1,35,0
benhodgson," London, UK ",13,55,85,28
Benjamin-Marks, San Francisco ,13,1,33,1
benjwright,Unknown,0,0,3,0
bensonk," Seattle, WA ",65,106,148,31
bentglasstube," Santa Clara, CA ",125,20,52,10
BenTheElder,Unknown,30,102,52,10
benvanik," Seattle, WA ",59,170,518,3
berdario,Unknown,109,104,70,59
beverloo," London, United Kingdom ",41,19,228,4
bfontain, Mountain View ,1,0,38,0
bhamiltoncx,Unknown,42,23,28,4
bileschi,Unknown,7,18,93,1
billnapier,Unknown,14,5,63,0
billyjacobson, New York City ,5,4,2,2
binfeng, San Francisco ,26,367,44,189
bjm,Unknown,1,0,32,0
bjou, New York ,3,490,47,114
bkell," Mountain View, California ",0,3,4,1
blackgnezdo,Unknown,13,5,43,0
blasten,Unknown,36,178,564,42
blois,Unknown,41,2,42,0
blomejd, United States ,3,0,6,0
blueandgold,Unknown,7,1,69,1
bnkuhn,Unknown,2,3,83,3
bochunz,Unknown,16,1,43,5
bogosj,Unknown,5,8,32,2
boredjohnny,Unknown,0,0,12,0
bourey," Seattle, WA ",26,20,97,0
bovard," Portland, OR ",70,14,20,33
bowei, Mountain View ,96,25,50,1
bozhu, California ,21,63,56,21
bprashanth,Unknown,22,0,66,0
bradfriedman," Seattle, WA ",16,11,40,0
bradgoldstein,Unknown,4,1,5,1
bradwilliford, San Francisco ,2,14,42,36
brainnoise,Unknown,4,1,43,0
Bram--," London, England ",10,11,65,0
bramhaghosh," Mountain View, CA ",8,28,67,3
bramp, Redwood City ,148,232,279,12
brandondutra," Kirkland, WA ",4,6,32,0
brandonweeks," San Francisco, CA ",60,339,44,25
BrandonY,Unknown,8,3,24,1
braval,Unknown,4,3,7,2
brcooley, CO ,25,43,35,1
brendankenny," Mountain View, CA ",24,9,455,1
bretm151,Unknown,11,1,11,0
briandorsey," Seattle, WA, USA ",23,261,226,33
briantkennedy," San Francisco, CA ",3,0,9,0
brnndnn,Unknown,2,17,52,9
broady, San Francisco and Sydney ,105,97,602,28
broniek,Unknown,0,0,31,0
brunal," Paris, France ",22,45,45,12
bryankate," Cambridge, MA ",6,0,44,3
bryannolen,Unknown,5,320,9,7
bryeung,Unknown,2,0,52,3
BSBandme," Chapin K, Stony Brook, NY, U.S.A ",13,3,22,6
bshi," San Francisco, CA ",9,148,34,3
bskiba, Poland ,8,2,21,0
bstau,Unknown,29,1,25,2
bstpierr," Waterloo, ON ",0,6,80,0
btco," Mountain View, California ",16,1,124,0
btian," Mountain View, CA ",11,9,27,0
butterflyhug," Cambridge, MA (United States) ",5,69,37,6
bwuest,Unknown,0,1,37,0
byee01," Pittsburgh, PA ",25,69,78,33
bzarco," New York, NY ",3,45,22,7
cadmuxe," Sunnyvale, CA ",13,179,30,41
caiotomazelli,Unknown,10,175,13,6
calebamiles, San Francisco ,43,80,64,0
calebbrown," Wollongong, Australia ",16,10,42,1
calebcordry," San Francisco, CA ",24,1,21,1
calebegg," New York, NY ",34,23,161,5
calmdan," Mountain View, CA, US ",5,6,16,4
cameronphchen,Unknown,23,151,25,45
Canain," Mountain View, CA ",30,131,37,2
Capstan," Zürich, Switzerland ",9,24,16,14
carise,Unknown,26,87,45,3
carl-mastrangelo, Bay Area ,24,3,96,2
carlinyuen, NYC ,44,240,46,1
carlwhamilton," Woodinville, WA ",0,0,25,0
cartland,Unknown,74,18,58,0
case540,Unknown,5,2,55,0
caseyburkhardt," Mountain View, CA ",4,3,42,1
cassierecher, New York ,9,34,56,20
cathyjf, San Francisco Bay Area ,10,5,108,0
cbbraun,Unknown,0,1,8,0
cblichmann," Zurich, Switzerland ",9,145,115,5
cbracken,Unknown,82,90,129,17
cceckman,Unknown,22,85,22,29
ccemeraldeyes,Unknown,8,4,37,2
cchamberlain," Costa Mesa, CA ",145,117,41,27
cdata, San Francisco ,111,1.1k,404,60
cdibona,Unknown,0,0,135,0
cezarygerard, Poland ,24,22,7,2
cfal,Unknown,18,0,6,0
cfredric," Boston, MA, USA ",11,0,22,2
cgdecker," Pittsburgh, PA ",9,10,193,0
cgrant,Unknown,25,78,38,51
cgrushko,Unknown,30,5,56,0
chanseokoh,Unknown,1,0,29,0
chaopeng," Waterloo, ON, Canada ",27,141,119,30
chaoren,Unknown,5,0,16,0
chatasweetie," San Francisco, CA ",47,8,44,13
cheftako,Unknown,6,5,29,0
ChengyuanZhao,Unknown,0,0,14,0
chenshay,Unknown,3,1,23,1
chingor13," Seattle, WA ",122,36,53,21
chinmaygarde," San Francisco, CA ",91,148,173,0
chirags," Sunnyvale, CA ",15,96,110,60
chr1sj0nes," London, UK ",7,6,20,0
chrisconover," San Francisco, CA ",5,75,18,7
chriscox, San Francisco Bay Area ,15,5,122,0
chrisdunelm, UK ,17,6,82,0
chrisforbes," Santa Clara, California ",75,115,115,117
chrishtr,Unknown,4,7,9,0
chriskha," Oakland, CA ",6,1,29,4
ChrisMondok,Unknown,56,6,24,5
christianbuck," Edinburgh, Scotland ",24,32,52,16
christisg,Unknown,1,0,27,0
christophersanson," New York, NY ",16,18,28,0
chrsfang,Unknown,10,0,9,0
chuckhays," Minneapolis, MN ",25,2,259,0
chuga, New York ,4,9,29,2
cian, London ,6,0,43,0
Cidan," Santa Monica, California ",16,13,15,0
ciphergoth," Mountain View, CA ",9,0,22,0
cjcullen," Seattle, WA ",10,5,63,1
cjqian," Sunnyvale, California ",79,28,34,2
cjwagner,Unknown,12,1,26,2
ckaznocha," Los Angeles, CA ",17,119,27,24
ckdblueshark,Unknown,0,0,7,0
claudiocherubino," Mountain View, CA ",9,4,67,0
clelland,Unknown,44,18,71,0
clement," San Francisco, CA ",36,126,59,7
clouser2,Unknown,6,0,41,0
cmei," Waterloo, Ontario ",16,5,50,0
cmisenas," New York, NY ",60,672,74,72
cmpolis, California ,43,839,86,48
CNA-Bld,Unknown,24,104,24,14
cnphil, New York City ,38,128,100,78
cobb, Kirkland ,3,6,14,9
cobookman," San Francisco, CA ",69,27,71,0
codedread,Unknown,2,9,70,5
codr, San Francisco ,55,46,41,18
codrienne,Unknown,4,72,12,14
codyrandall,Unknown,1,3,0,0
collinlambert,Unknown,3,0,10,0
ComputerDruid, United States ,28,45,52,14
Conchylicultor, California ,31,25,299,13
connorregan, San Francisco Bay Area ,3,0,17,1
cornmander, NYC ,16,0,32,0
cpasillas,Unknown,9,6,21,5
cpatrick,Unknown,97,59,37,16
cpcallen,Unknown,11,7,4,0
cpiper,Unknown,4,4,13,0
cpovirk,Unknown,3,0,183,0
craigcitro," Seattle, WA ",73,132,496,23
craigprince," Seattle, WA ",1,0,37,0
cramertj,Unknown,50,58,69,5
cramforce," Alameda, CA, USA ",56,69,422,9
crimsonfaith91,Unknown,63,0,18,1
crimzonrayne," San Francisco, CA ",18,0,27,2
cristiancavalli,Unknown,23,7,34,12
critsec,Unknown,3,1,36,0
csbell,Unknown,9,1,25,0
cshei,Unknown,2,15,8,0
cspickert," New York, NY ",27,88,66,68
csuter," San Francisco, CA ",23,19,35,10
ctiller,Unknown,17,18,143,10
cupofcat,Unknown,10,7,10,0
cvrebert," SF Bay Area, California, USA ",35,285,1.2k,32
cweill," New York, NY ",16,35,66,6
cy89," Bay Area, CA ",0,0,17,0
cyberkni, New Jersey ,28,11,49,7
cyblocker, Hong Kong ,10,12,11,0
CydeWeys," New York, NY ",16,47,66,16
d0k, Germany ,13,16,66,16
damienmg, Germany ,21,7,124,0
dan-zheng, Bay Area ,56,465,47,59
danafergan," San Francisco, CA ",4,3,38,10
danawillow," Seattle, WA ",12,0,50,0
dandc87," San Francisco, CA ",2,28,47,6
dandv, Silicon Valley ,579,468,365,20
danholevoet,Unknown,10,1,95,0
danhurt," Redwood City, CA ",0,0,0,0
Daniel-B-Smith," New York, NY ",15,2,28,6
danielmichaelni,Unknown,18,35,19,7
danielpeach, NYC ,26,1,26,1
danielresnick,Unknown,0,0,3,0
DanielVlasic,Unknown,0,0,3,0
danijar," London, Germany ",55,300,426,35
dannyperson, Urbana-Champaign ,27,17,2,4
Dannyzen, New York ,53,810,49,87
danoscarmike," San Francisco, CA ",36,2,22,11
DanSanche," Seattle, WA ",18,68,17,1
dansitu,Unknown,26,103,76,7
dansrogers,Unknown,12,3,21,0
danzh2010,Unknown,1,0,20,0
dapengzhang0, CA 94043 ,11,12,36,1
darkskiez," Zurich, Switzerland ",24,44,20,6
DarthGandalf," Ireland, Dublin ",32,13,90,3
daughtry,Unknown,0,0,30,0
dave-2," San Francisco, CA ",3,1,43,0
davejrichardson,Unknown,3,0,9,0
davelab6, New York City ,849,203,345,119
davidair,Unknown,12,5,10,5
DavidCPhillips, San Francisco ,2,1,69,0
davidharcombe,Unknown,14,8,8,0
davidkearns," San Francisco, CA ",3,8,14,13
davidlattimore,Unknown,0,0,10,0
davidn,Unknown,25,8,36,3
davidpeng," Irvine, CA, US ",7,0,12,0
davidsansome," Sydney, Australia ",48,28,69,5
davidsoergel,Unknown,30,14,105,0
davidz627," Sunnyvale, CA ",13,3,16,11
davidzchen, S.F. Bay Area ,89,1.2k,172,79
dbabkin,Unknown,0,0,7,0
dbakshiyev,Unknown,21,0,15,0
dballing,Unknown,3,11,18,1
dbarella, NEW YORK CITY BABYYYYYY ,19,12,33,12
dbieber," Mountain View, CA ",52,83,121,102
dbort,Unknown,2,11,35,0
dchanman,Unknown,27,15,14,1
dclaar,Unknown,1,0,8,0
dclements," Denver, CO ",17,98,29,11
dcoker,Unknown,12,25,37,40
dcower," Seattle, WA ",10,8,63,0
deanscarff,Unknown,1,0,36,0
deepaklukose,Unknown,1,0,20,0
deepanjanroy," Kitchener, ON, Canada ",40,14,121,3
deflaux, Seattle ,43,16,110,2
Deleplace," Paris, France ",18,8,10,1
DellaBitta,Unknown,3,1,2,3
delroth," Zürich, Switzerland ",19,7,145,0
derakon,Unknown,3,3,17,0
derekmauro," New York, NY ",0,1,16,0
dermesser, Zürich ,30,66,37,7
destijl," Seattle, WA ",24,4,51,1
deustis, Seattle ,9,5,32,0
devin-donnelly,Unknown,0,0,25,0
devm33, New York ,72,27,31,9
devonobrien,Unknown,2,0,7,0
deymo,Unknown,3,2,11,0
dgageot," Paris, France ",169,44,388,0
dgay42,Unknown,1,0,41,0
dgpc," Seattle, WA ",3,19,22,0
dhananjay92," Mountain View, CA ",38,28,70,0
dibyom,Unknown,36,424,30,7
diegopl, London ,9,163,14,20
diminishedprime,Unknown,26,15,9,12
dimitar-asenov," Zurich, Swtizerland ",12,1,20,1
dimo414," Mountain View, CA ",3,56,26,31
djherbis,Unknown,15,82,49,3
djvisentin,Unknown,0,0,20,0
dklimkin," Zürich, Switzerland ",4,1,62,0
dlazin," New York, NY ",1,0,14,3
dlc,Unknown,27,29,46,0
dlj-NaN,Unknown,1,5,21,1
dlobutters,Unknown,1,0,8,0
dlorenc,Unknown,80,16,51,0
dlowe-net," Waltham, MA, USA ",12,41,65,14
dmattia, United States ,74,237,37,44
dmcartor," San Francisco, CA ",4,0,13,2
dmcc, Internet ,16,231,62,32
dmho418,Unknown,0,0,17,0
dmotz, NYC ,28,115,449,15
dmuellner,Unknown,4,1,11,0
dogben,Unknown,1,2,20,0
doherty, San Francisco ,139,156,83,45
domenic," New York, NY ",172,260,3.2k,64
domesticmouse," Sydney, Australia ",63,88,185,10
dominichamon,Unknown,68,19,66,5
dominickng," Sydney, Australia ",14,8,17,2
DominicKramer," Mountain View, CA ",25,14,20,9
donmccurdy, San Francisco ,110,263,361,22
doomie," San Francisco, CA ",7,9,42,0
doublea,Unknown,7,8,38,0
dougfelt,Unknown,11,0,46,0
DougSig," San Francisco, CA ",4,5,60,2
dreveny,Unknown,1,2,34,0
drewinglis," Seattle, WA ",34,45,41,37
drieber,Unknown,2,0,17,0
drigz,Unknown,54,0,25,0
DrJosh9000, Sydney ,22,71,62,36
DrMarcII," Sunnyvale, CA ",12,6,48,3
droot, San Francisco Bay Area ,50,112,25,0
drott,Unknown,22,10,41,1
droyo," New York, NY ",33,22,30,2
dsaff," Cambridge, MA ",23,19,113,0
dsandler, Boston ,14,91,91,43
dsmilkov," Cambridge, MA ",7,74,423,0
