User,Location,Num_Repos,Num_Stars,Num_Followers,Num_Following
hbhasker,Unknown,7,16,34,1
hcaseyal,Unknown,6,0,1,0
hchen1506,Unknown,6,8,12,0
hdurer, South-east England ,8,191,64,76
heathkit," Seattle, WA ",43,207,39,8
helfrichmichael," New York, New York ",0,1,10,14
hendrikwagenaar, MTV ,3,0,28,0
henrybell,Unknown,22,17,16,5
hermione521, Munich ,22,38,59,8
heschik,Unknown,1,0,13,0
Hexcles, Canada ,35,652,182,104
hfwang,Unknown,76,262,27,13
hibafakhoury,Unknown,1,1,27,0
hk-cho," Mountain View, CA ",0,0,17,0
hnsl, Stockholm ,16,33,30,5
howardzzh," Bay Area, CA ",0,1,17,1
hray2003,Unknown,4,0,15,1
hrwgc, San Francisco ,19,45,82,10
hsaliak,Unknown,11,23,52,0
hterkelsen, United States ,28,29,43,3
hugelgupf,Unknown,31,57,75,119
huiyangxing,Unknown,0,1,7,0
hulkholden," London, UK ",7,14,51,2
hxiong388, Seattle ,7,5,19,1
ia0, Zürich ,25,5,15,25
IainNZ," London, UK ",36,42,177,15
ianbarber, San Francisco ,71,93,334,13
ianegordon," New York, NY ",16,25,26,5
iangudger,Unknown,6,9,40,7
ianlancetaylor," Berkeley, California, USA ",5,1,465,0
ibab," London, UK ",88,203,448,67
ibjhb,Unknown,39,81,36,44
icheckmate, New York City ,11,9,23,4
icmdaf,Unknown,2,1,15,0
icoloma," Berlin, Germany ",39,19,45,0
iflan," Zürich, Switzerland ",10,0,19,1
ignacyk," Warsaw, Poland ",2,0,7,0
igorpeshansky,Unknown,11,2,33,0
igrigorik," San Francisco, CA ",72,3.6k,6.1k,153
IharBury," Zürich, Switzerland ",14,24,18,7
Iheartweb, Mountain View CA ,20,129,32,24
iislucas,Unknown,8,20,67,9
ikbeneyal,Unknown,2,1,3,0
ilyamironov,Unknown,1,9,6,0
ImJasonH," New York, NY ",63,43,84,17
inio,Unknown,11,6,32,0
ipopov,Unknown,10,33,43,21
iprotsyuk," London, UK ",9,4,6,1
iqs," New York, NY ",2,10,28,0
IreneKnapp, California ,69,42,57,28
isaaccp,Unknown,2,7,20,0
ISF, Ireland ,1,34,34,25
ishermandom,Unknown,3,3,5,1
ismena,Unknown,3,0,16,0
isomer, London ,28,25,65,27
israel-lugo, United Kingdom ,12,7,8,3
issmirnov," Bay Area, California ",68,198,46,19
ivansandrk,Unknown,3,1,16,0
ivant, San Francisco Bay Area ,18,38,44,12
ixdy,Unknown,39,8,78,13
J-M-Barnes,Unknown,0,0,6,0
jabagawee," San Francisco, CA ",51,67,15,11
jackfirth," Mountain View, CA ",62,246,72,83
jackgr, United States ,17,2,49,0
jadekler," San Francisco, CA ",173,789,65,40
Jai-Chaudhary, New York ,66,709,47,159
jaimefrio," Zurich, Switzerland ",20,3,69,5
jakearchibald,Unknown,155,60,4.2k,3
jakebiesinger," Irvine, CA ",18,54,38,15
JakeWharton," Pittsburgh, PA, USA ",94,230,46.2k,12
james7132," Mountain View, CA ",17,24,40,9
jamesdaniels," San Francisco, CA ",106,518,174,81
jamesshannon,Unknown,23,10,30,0
jan-wassenberg, Zürich ,1,3,37,0
janclarin," Mountain View, California ",12,56,59,84
janetkuo," Mountain View, CA ",36,151,255,21
jangie,Unknown,33,5,13,1
jankeymeulen,Unknown,7,0,16,0
japacible, Seattle ,80,18,210,9
jaredsburrows,Unknown,42,510,220,13
jart,Unknown,179,75,802,77
jason9t," Washington, DC ",1,7,43,0
JasonAHeron,Unknown,26,38,19,5
jasonmc," Brooklyn, New York ",23,103,30,23
javier-b-perez,Unknown,8,0,7,0
jayantkolhe, United States ,9,17,55,0
jaybe38, UK ,7,6,40,3
JayGoldberg," San Francisco, CA, USA ",34,124,14,4
jaypizzle," Milan, Italy ",6,6,6,1
JayXon," California, United States; Beijing, China ",24,202,177,12
jayzelenkov," San Francisco, CA ",16,325,42,123
jbarbero, San Francisco Bay Area ,12,3,7,2
jbartosik, Eu/Pl ,15,2,13,2
jbnicolai, Amsterdam ,640,163,126,32
jbolinger," Sunnyvale, CA ",13,0,5,0
jbowen93, United States ,37,2,12,0
jbrook, Amsterdam ,33,378,16,18
jcbsmpsn,Unknown,12,0,25,0
jck112,Unknown,1,0,11,0
jcomputer,Unknown,0,2,13,0
jculpon, SF Bay Area ,10,27,20,6
jdgreenberg,Unknown,1,0,31,0
jdmgoogle,Unknown,1,0,17,0
jdoerrie,Unknown,14,54,15,2
jDramaix,Unknown,20,18,96,10
jdumars, Seattle ,19,8,56,27
jeadorf,Unknown,12,0,10,0
jeffallen-google,Unknown,9,0,12,0
jeffkaufman, Somerville MA ,50,20,182,3
jeffmendoza,Unknown,41,16,65,2
jeffposnick," Brooklyn, NY ",80,28,417,0
jeisinger,Unknown,14,2,61,0
jelbourn, California ,22,5,532,0
jemoreira,Unknown,1,0,6,0
jennybuckley," Sunnyvale, CA ",8,0,6,0
jeremyje," Seattle, WA ",18,9,50,6
jeremykeen," Philadelphia, PA ",31,54,15,18
jeremywhelchel, New York City ,4,24,40,20
jerjou,Unknown,7,0,44,0
jermowery," Seattle, WA ",4,2,32,0
JeromeA,Unknown,1,1,11,0
jessicaochen,Unknown,7,0,18,0
Jessie-Newman," Atlanta, GA ",6,1,46,5
jessimb,Unknown,4,0,14,0
jeztek,Unknown,18,19,29,3
jf647," Seattle, WA ",58,56,32,0
jforman," Boston, MA ",28,2,14,0
jfroy," San Francisco, CA ",3,209,40,0
jgaillard85,Unknown,1,0,5,0
jgrunert,Unknown,6,6,13,6
jharmsen, Zurich ,4,4,17,0
jhseu," San Francisco, CA ",13,13,212,1
jianglai, New York ,17,19,24,32
jiayingz,Unknown,8,0,20,0
jiliao,Unknown,2,13,17,2
jimper,Unknown,9,3,38,0
jimrogerz," San Francisco, CA ",2,0,11,0
jin, New York City ,95,511,110,59
jingbian,Unknown,5,0,17,0
jinwoo," SF Bay Area, CA ",39,4,23,0
jinxos, Switzerland ,3,7,34,2
jiyangchen,Unknown,3,0,11,0
jiyunyao,Unknown,3,0,7,0
jjerger," Sunnyvale, CA ",1,0,3,0
jjh42, London ,61,38,56,8
jjwatt," Atlanta, GA ",30,292,19,10
jkadams,Unknown,2,2,23,0
jkingyens,Unknown,98,3.1k,91,146
jklein24, Los Angeles ,73,11,77,11
jkoleszar,Unknown,3,1,12,0
jkomoros,Unknown,4,144,62,1
jladieu,Unknown,4,1,15,0
jlcarmer,Unknown,0,0,6,2
jleahey," San Francisco, CA ",5,6,19,8
jlivni,Unknown,23,23,145,1
JLLLinn,Unknown,16,4,4,1
jlowdermilk,Unknown,9,4,44,3
jm2," Sunnyvale, CA ",1,5,9,1
jmdobry," Seattle, WA ",40,347,349,0
jmetherd,Unknown,5,0,14,0
jmgao," Mountain View, CA ",59,30,42,0
jmickeyd," San Francisco, CA ",5,1,36,2
jmr, New York ,7,8,32,0
jmrunkle," Orange County, CA ",15,6,18,4
jmwaura," Washington, DC ",5,0,32,0
jo2y," San Jose, California ",24,34,3,0
joachimmetz,Unknown,25,0,248,0
joaoandremartins, New York ,12,4,11,2
joefernandez," San Jose, CA ",1,1,30,1
joel-shor,Unknown,7,3,56,2
johnfesa,Unknown,0,1,8,0
johnheroy, Los Angeles ,85,249,110,118
johnmellor, London ,14,25,47,0
johnsonj," Seattle, WA ",40,64,47,11
johnwilkes,Unknown,1,0,43,0
jolros,Unknown,28,14,23,3
jon," Seattle, WA ",28,31,25,0
jonathanasdf, Pittsburgh ,18,0,19,0
JonathanDCohen,Unknown,15,0,9,0
jonathankarsh,Unknown,23,61,7,0
jonathanpittman," Atlanta, GA ",0,13,14,5
jonkeller," Cambridge, MA ",21,63,15,2
jonmayergoogle,Unknown,3,1,7,0
joonlim,Unknown,46,58,3,4
JordanJTW,Unknown,15,2,0,0
jordoncm,Unknown,21,7,23,0
josenavas," San Diego, California ",56,1,9,0
josephlewis42," Seattle, WA ",38,101,16,9
josephlr," Seattle, Washington ",14,10,32,5
josheverett, San Francisco ,11,136,24,4
joshrose,Unknown,9,178,7,20
joshsimmons," Petaluma, CA ",2,286,94,131
joshzimmerman,Unknown,7,6,21,0
jparagon,Unknown,5,17,7,15
jpatokal,Unknown,22,22,65,0
jpbetz," Mountain View, CA ",37,139,23,11
jpchase,Unknown,18,6,26,0
jpevarnek, New York City ,13,10,33,3
jpharaoh-google,Unknown,2,0,6,0
jpienaar,Unknown,2,4,11,0
jplobosgle,Unknown,0,0,3,0
jpoumailloux, in the Cloud.. :) ,5,9,7,0
jqln-0," Sydney, Australia ",7,4,32,1
jridgewell," New York, NY ",92,42,357,0
jrtom," Kirkland, WA, USA ",1,1,42,0
jrundquist," Mountain View, CA ",21,12,16,5
jsafyan, San Francisco ,16,63,11,10
jsanmiya,Unknown,1,0,44,0
jsannemo, Sweden ,18,10,39,6
jsantell, San Francisco ,179,566,525,74
jsharkey,Unknown,12,6,45,1
jshcrowthe," Mountain View, CA ",58,39,113,43
jsimsa," California, USA ",8,0,41,0
jsjeon," Kirkland, WA ",4,19,22,8
jskeet," London, UK ",25,1,3.3k,1
jskorupski," Irvine, CA ",14,140,14,4
jstemmer, London ,14,140,54,15
jsummerfield,Unknown,0,0,19,0
jtacoma," New York, NY ",27,131,25,12
jtangelder," Zürich, Switzerland ",77,171,279,3
jterrace," Seattle, WA ",52,81,108,17
jtgans," Seattle, WA ",41,20,13,2
jtmcdole," Sunnyvale, CA ",22,26,46,5
juancnuno,Unknown,1,0,5,0
judax," San Francisco, CA ",15,2,33,1
judkowitz," San Jose, CA ",1,0,15,0
juliaferraioli,Unknown,9,39,178,0
juliantoledo, Spain ,8,34,48,3
juliemr," Seattle, WA ",48,23,2.2k,2
jungithubcloud,Unknown,0,0,10,0
junyer," Sydney, Australia ",0,0,20,0
JustinBeckwith," Seattle, WA ",150,186,181,17
justinbelcher," San Francisco, CA ",2,33,28,0
JustinBis," Boulder, CO ",22,36,11,2
justinburke,Unknown,47,79,12,15
justingiorgi,Unknown,4,0,15,0
justingrayston, UK ,33,71,16,12
justinmanley," Chicago, IL ",60,212,55,74
JustinMockler, San Francisco Bay Area ,5,0,9,0
justinsb, United States ,134,64,248,0
justinseinlin," CA, USA ",3,5,7,0
jvdillon," Mountain View, CA ",1,2,27,2
jverkoey," New York, NY ",47,81,1.4k,4
jwilling, Bay Area ,18,281,317,37
jwren," Portland, OR ",16,63,37,20
jyasskin," Portland, OR ",106,42,158,16
jyujin," Dublin, Ireland ",11,62,60,26
k-w-w,Unknown,2,1,32,0
k4leung4,Unknown,4,0,5,0
kaathewise," London, UK ",11,3,7,0
Kagadar, Australia ,0,0,11,1
kainino0x," Mountain View, CA ",49,35,50,0
kalakris, Palo Alto ,18,16,91,5
KamranAsif," New York, NY ",19,14,16,3
karan, Seattle ,126,87,2.8k,0
karlhiramoto,Unknown,26,115,71,17
karmel,Unknown,11,4,35,1
Kashomon," Seattle, WA ",54,93,59,28
kaspnilsson," San Francisco, CA ",6,6,18,3
katelee168,Unknown,11,5,26,19
katsiapis,Unknown,3,4,21,0
kawych,Unknown,18,0,8,0
kaycebasques," San Carlos, California ",20,40,109,8
kayzhu," Mountain View, California || Toronto, Ontario ",13,273,63,14
kb," Providence, RI ",18,574,44,0
kc8apf," San Jose, CA ",15,14,25,1
kcoronado,Unknown,4,0,4,0
keanulee, San Francisco ,45,11,205,0
keghani," Zürich, Switzerland ",2,6,63,1
KeithMoyer,Unknown,3,6,4,0
keithsmyth," California, United States ",23,4,10,2
keithwrightbos,Unknown,3,2,20,0
kenlimmj," New York City, NY, USA ",40,1.4k,35,3
kennknowles,Unknown,128,244,118,20
kerneis, Paris ,13,16,57,0
keshan, Colombo ,18,74,14,16
keving,Unknown,1,0,18,0
kevinlindkvist," San Francisco, California ",9,0,13,0
kevinoconnor7, New York ,45,68,29,3
kevinsheehan," Boston, MA ",2,6,10,0
kevmo314," Cambridge, MA ",31,13,23,0
kewu1992,Unknown,7,0,10,1
keyboardsurfer," London, UK ",6,97,2.3k,59
keytoaster," Dublin, Ireland ",3,1,9,1
kford, San Francisco Bay Area ,5,11,6,1
kford55, Greater NYC Area ,28,12,15,11
kgolab, Poland ,3,2,3,0
khatamnejad,Unknown,1,1,3,0
khwang," Berkeley, CA ",58,261,54,46
kibab," München, Deutschland ",17,20,26,11
kibbles-n-bytes,Unknown,12,1,10,0
kinwa91, Seattle ,27,6,6,2
kiratp,Unknown,2,8,11,1
kirilg, San Francisco ,2,2,101,0
kishore-narendran," Irvine, CA ",44,139,66,99
kjacqmin, United States ,0,0,25,0
kjkjava," Georgia, USA ",13,81,42,24
kkkarnik,Unknown,0,0,3,0
klausw,Unknown,8,5,64,0
klepikov,Unknown,5,3,42,0
kluever," New York, NY ",5,18,72,13
kmassada," Baltimore, MD ",42,13,21,2
kojiishi," Tokyo, Japan ",38,59,26,8
kolmodin," Stockholm, Sweden ",26,40,90,18
kolodny, New York ,190,217,213,5
kow3ns," San Francisco, CA ",16,3,49,0
KrauseFx, https://whereisfelix.today ,108,1k,3.1k,10
krisgiesing,Unknown,9,0,27,0
krousey,Unknown,11,6,40,1
kruton," Mountain View, CA, USA ",52,32,159,1
Krylez," Seattle, CA ",4,42,5,21
krzysied,Unknown,4,0,3,0
krzysztof-jastrzebski," Warsaw, Poland ",3,1,7,0
krzyzacy," Mountain View, CA ",31,9,24,14
ksiegel, Massachusetts ,11,33,9,2
ksprashu, India ,82,8,16,2
kssilveira," Porto Alegre, RS, Brazil ",7,3,25,0
kthelgason,Unknown,50,140,61,31
kuba,Unknown,23,99,87,52
kunaaljain, India ,47,59,48,5
kurin," Seattle, WA ",14,25,20,6
KurtSteinkraus,Unknown,0,1,30,0
kvafy," London, United Kingdom ",13,2,3,0
kw,Unknown,3,17,9,0
kwadkore,Unknown,5,24,24,2
kwiberg,Unknown,4,1,24,0
kwl,Unknown,5,2,17,0
KyleWiese,Unknown,6,0,6,0
kyliau,Unknown,17,43,22,5
laixer," Sunnyvale, California ",21,3,21,0
lakshmanok," Seattle, WA ",14,4,76,0
lambdatastic," Bay Area, California ",36,96,65,28
lamberta," Mountain View, CA ",18,10,98,11
langner, Mountain View ,33,90,35,26
lann,Unknown,71,43,32,1
lanthaler,Unknown,65,542,162,0
larryleguo," Sunnyvale, CA ",1,1,7,0
LaurentMazare,Unknown,26,7,51,2
lavalamp," Mountain View, CA ",16,9,192,0
ldemailly,Unknown,24,18,66,8
leandrotoledo," Reston, VA ",47,76,71,9
leeschumacher,Unknown,5,5,31,0
lelanophilus-zz,Unknown,2,0,18,0
lemonzi," Zürich, Switzerland ",28,227,88,26
LeonScroggins,Unknown,1,2,15,1
levilindsey," Seattle, WA ",25,115,25,22
liaoarden,Unknown,5,5,14,1
Lindurion," Mountain View, CA ",6,1,11,1
liouh,Unknown,16,68,27,3
liuhaodong,Unknown,23,8,5,5
Liujingfang1, Sunnyvale ,18,4,9,1
liujisi,Unknown,3,1,44,0
liuming0,Unknown,2,0,22,0
liviosoares, Greater New York area ,16,6,11,2
liyanhui1228," Sunnyvale, CA ",16,10,28,9
liyinan926," Sunnyvale, CA ",17,49,33,0
lizan, San Francisco Bay Area ,36,26,50,24
lookuptable," Mountain View, CA ",30,19,13,0
loosecannon93,Unknown,19,14,26,13
LorenVS, Seattle ,24,2,19,0
losipiuk," Warsaw, Poland ",30,28,12,3
lpy," Shantou, Guangdong, China ",15,66,118,31
lrem, Europe ,42,9,19,0
lszekeres,Unknown,4,5,10,3
lucas-clemente, Zurich ,48,132,99,7
lucaswadedavis," San Francisco, California ",154,159,142,241
Lucretiel, New York City ,96,15,24,0
ludoch, United States ,50,62,59,5
ludwigschubert, San Francisco ,66,80,66,7
lukegb,Unknown,166,145,111,39
lukeleslie," Urbana, IL ",18,39,15,0
lunrong, MTV ,2,2,9,0
luofei11, United States ,25,4,20,10
lupino3, Dublin ,7,25,39,16
lusilva,Unknown,9,21,7,2
luuse," London, UK ",3,101,36,14
luzhang,Unknown,12,7,7,6
lwander, NYC ,36,41,114,45
lweichselbaum,Unknown,2,4,22,1
lxuechen, Toronto ,14,134,38,57
lynnye,Unknown,4,0,2,0
m3drano,Unknown,4,72,20,5
ma2rten,Unknown,4,6,19,0
mabouza," San Jose, CA ",3,5,36,1
madhav-datt, San Francisco Bay Area ,44,33,120,46
mairbek, San Francisco ,43,203,66,55
maisem," Seattle, WA ",6,2,19,0
majido,Unknown,28,30,30,7
majnemer,Unknown,5,9,70,0
malcolmr,Unknown,11,6,32,2
malucky,Unknown,79,58,8,4
manastungare, San Francisco Bay Area ,14,103,159,21
mangini,Unknown,33,12,765,2
manutenfruits," New York, NY ",20,23,5,11
maplemuse," Kitchener, Ontario ",14,21,19,2
marcacohen, London ,21,16,125,9
marcja," New York, NY ",4,109,35,9
MarcoSero," London, United Kingdom ",38,519,136,76
markchang," Boston, MA ",42,70,57,0
MarkDaoust,Unknown,11,159,41,0
markdroth,Unknown,5,0,22,0
markegli," irvine, ca ",5,46,19,15
MarkEHenderson," Mountain View, CA ",3,1,7,0
markmcd," Sydney, Australia ",29,103,161,16
markpell,Unknown,2,1,28,0
MarkusBordihn, Germany ,30,12,42,4
markusicu, California ,1,0,27,0
MartenvanWezel,Unknown,3,0,17,1
martincochrang,Unknown,2,0,15,0
martinluka,Unknown,0,0,9,0
martinpuryear,Unknown,0,0,6,0
maruel," Ottawa, Canada ",63,85,177,8
MasonSchneider," Seattle, WA ",23,1,5,5
masto, New York ,21,30,17,2
mateusazis," San José, California ",27,13,18,0
matgand, Milan ,1,1,1,0
mathiasbynens, Germany ,449,1.3k,5.8k,152
Matir,Unknown,46,112,115,21
matsf-google,Unknown,0,0,6,0
matsko," San Francisco, California ",27,59,1.4k,73
matted," Cambridge, MA ",9,2,19,1
matthewg," Seattle, WA ",15,4,36,0
matthewlai," London, UK ",3,0,32,0
matthewloring," Mountain View, CA ",27,0,83,0
matttproud," Zürich, Schweiz ",81,21,157,1
matvore,Unknown,5,41,39,5
mauimauer," London, UK ",86,176,181,27
maurerj,Unknown,0,0,26,0
mauskopf, San Francisco ,6,9,21,5
Max401,Unknown,2,0,13,0
maximermilov,Unknown,11,5,16,0
maximgoldin,Unknown,1,0,9,0
MaxRossGoogle,Unknown,2,2,29,0
mayakacz,Unknown,2,32,4,0
mbassiouny,Unknown,5,1,10,0
mbohlool," Mountain View, CA ",34,14,36,1
mborsz,Unknown,9,2,10,0
mbrukman, NYC ,1.4k,2k,114,52
McBrainy,Unknown,9,12,9,2
mchambers," San Bruno, CA ",21,72,12,1
mcoder," Mountain View, CA ",1,3,13,0
mdaly,Unknown,1,1,6,0
mdanatg, USA ,5,1,4,0
mdebeaux," Paris, France ",0,18,18,1
mdempsky," San Francisco, CA ",34,11,169,1
mdietz94, New York ,11,5,21,1
mdruskin," San Francisco, CA ",5,0,5,0
MechCoder, Mountain View ,97,102,226,46
medb,Unknown,1,0,6,0
medinatiger, Seattle ,6,0,5,0
medyagh, Earth Planet ,59,73,17,9
melap,Unknown,3,12,14,0
melodylu, Mountain View ,49,23,8,4
mengqiy," Sunnyvale, CA ",20,4,26,1
meritus,Unknown,18,0,9,1
metafeather," London, UK ",14,993,32,28
meteorcloudy, Munich ,23,5,89,7
mfoltzgoogle," Seattle, WA ",9,45,21,1
mfschwartz," Boulder, CO ",1,2,44,1
mfurtak,Unknown,8,190,62,8
mgainer,Unknown,2,0,10,0
mgottscho," San Jose, CA ",44,58,11,19
mhahmadi," Montreal, QC ",22,12,18,11
mhenc,Unknown,0,1,9,1
mherkender," San Francisco, CA ",7,8,42,1
mi-jones," Waterloo, Ontario, Canada ",3,5,10,1
micahber,Unknown,0,0,11,0
michael-schaller, Munich/Germany ,2,3,12,6
michaelabdelmalek,Unknown,0,0,25,0
michaelarusso,Unknown,8,0,22,0
MichaelDoyle," Concord, MA ",13,64,40,82
michaelharo,Unknown,3,2,17,0
michaelisard,Unknown,1,0,121,0
michaelkleber," Cambridge, MA ",1,1,15,0
michaellenaghan,Unknown,5,4,11,0
michaelquinn32," Los Angeles, CA ",20,0,14,0
michaelrbock," San Francisco, CA ",62,186,32,17
michaelsafyan," Pittsburgh, PA ",4,25,28,74
michaelwsherman," New York, NY ",8,4,10,4
michaschwab," Boston, MA ",20,6,10,1
miguelandres," New York, NY ",4,3,64,11
miguelfc, Spain ,20,9,4,0
miguelfrde,Unknown,38,307,44,47
miguelmc," Monterrey, México ",19,40,14,4
mihnjong,Unknown,9,1,4,0
MiichaelD," San Francisco, Ca ",65,27,20,14
mikaelpeltier," Rennes, France ",1,1,6,0
mikedanese, Center of the Universe ,70,192,179,1
mikedory," Maplewood, NJ ",44,514,52,41
mikehaney24," Mountain View, CA ",15,126,19,10
mikesamuel," Princeton, NJ ",49,14,62,7
mikewest," Munich, Germany ",99,130,393,71
mikewiacek," Mountain View, CA ",9,25,30,0
mindhog,Unknown,12,6,36,8
mindprince, San Francisco Bay Area ,39,33,42,0
mingxingtan,Unknown,3,2,33,0
minorninth, California ,11,2,24,0
MirkoBonadei," Stockholm, Sweden ",21,93,47,45
misterikkit, California ,8,11,11,8
misterwilliam," San Francisco, CA ",41,9,17,3
mitchellwills," Worcester, MA ",44,0,26,0
mizitch," Seattle, WA ",3,1,11,0
mjansche,Unknown,10,26,40,9
mjlazar," New York, NY ",1,76,5,0
mk13, Mountain View ,13,4,4,4
mkatiyar,Unknown,6,2,9,1
mkjelland, Seattle ,11,10,29,0
mkoryak, Boston ,55,73,50,16
mkowalchuk,Unknown,2,1,26,1
mkruisselbrink,Unknown,17,0,17,0
mlbileschi,Unknown,19,11,9,0
mlippautz, Munich ,8,3,33,0
mmalerba,Unknown,10,1,33,1
mmermerkaya," London, UK ",5,140,34,16
mml," Valley of Heart's Delight, California Floristic Province ",28,24,35,14
mmoreno-g,Unknown,0,0,4,0
mmotorny,Unknown,2,6,27,0
moandcompany, Internet ,76,336,14,2
moduloprime,Unknown,1,0,24,0
Mononofu," London, UK ",67,39,213,2
monsur," Chicago, IL ",17,154,99,27
moorea7,Unknown,2,0,3,0
morehouse,Unknown,6,0,8,0
morgante, New York ,171,484,63,45
Morgawr, Dublin ,40,32,72,29
MoritzT," Dublin, Ireland ",8,4,61,8
mothepro," Austin, TX ",38,98,21,0
mounirlamouri,Unknown,72,14,81,2
mpAtGoogle,Unknown,0,0,13,0
mpd,Unknown,7,10,27,0
mrazza," New York, NY ",4,5,12,1
MrDisconnect,Unknown,1,2,15,0
mrhania, Wrocław ,14,11,9,0
mrhappyasthma,Unknown,23,0,27,10
MrHohn, Bay Area ,41,23,64,6
mrisher,Unknown,17,6,30,3
mritche,Unknown,1,0,23,0
mrotondo,Unknown,21,76,30,70
MrPickles,Unknown,6,37,15,7
mrthrailkill,Unknown,3,16,12,0
msau42,Unknown,7,2,47,0
msuozzo,Unknown,30,15,30,3
mteper,Unknown,21,27,15,1
mugurm, San Francisco Bay Area ,5,36,42,18
munutzer,Unknown,1,0,24,0
muonzoo," London, UK ",21,15,8,1
murgatroid99,Unknown,31,7,64,0
mustaqahmed, Waterloo ,7,0,8,0
mvd7793," Mountain View, CA ",50,12,75,9
MylesBorins," New York, New York ",233,278,914,145
myounglai,Unknown,10,5,5,0
mzero," Mountain View, California ",19,20,168,7
n0nick," Tel Aviv, Israel ",69,415,40,29
n1vlac," San Francisco, CA ",6,8,11,0
n3wscott,Unknown,30,2,7,0
nageshs,Unknown,12,30,78,20
nakulj,Unknown,12,5,10,0
Narasimman," Palo Alto, California ",38,9,11,4
Narflex, Los Angeles ,1,1,28,0
narphorium," San Francisco, CA ",10,62,79,7
natebosch," Seattle, WA ",27,8,33,6
natewilliford,Unknown,21,7,27,1
nathan-williams,Unknown,5,0,5,0
nathang21," San Jose, CA ",31,141,9,12
natorion," Munich, Germany ",10,2,48,2
NavidZ,Unknown,11,0,13,0
ncdat,Unknown,0,0,10,0
ndmckinley," Seattle, WA ",32,6,15,0
nealwu," Palo Alto, CA ",25,5,340,14
nedn, Berkeley ,17,4,61,3
NeilFraser, California ,9,9,190,0
nelsonjr,Unknown,29,5,22,1
neoseele, Australia ,47,0,13,0
nerdatmath,Unknown,14,103,17,8
netdpb, New York ,4,6,42,3
nettoyeurny," New York, NY ",12,14,160,0
newgiin," San Francisco, CA ",18,13,15,4
Nexproc," San Francisco, California ",20,2,17,5
nfallen,Unknown,10,2,9,2
nfaralli,Unknown,5,2,32,0
nfarring," Los Angeles, California, USA ",6,16,25,13
nfelt," Stanford, California ",4,10,31,1
nglorioso,Unknown,5,0,8,2
ngparker, California ,5,4,26,0
niallkennedy," San Francisco, CA, United States ",15,25,94,0
NicholasDunham, United States ,43,72,26,21
nickdesaulniers," Mountain View, CA ",185,633,382,87
nickofbh, Palo Alto ,7,51,25,12
nickread," Sydney, Australia ",5,35,15,1
nicksardo," San Francisco, CA ",30,75,29,6
nicksay," Brooklyn, NY ",17,4,81,0
nicolasgarnier, Switzerland ,11,22,425,1
nicuveo,Unknown,30,8,30,16
nikclayton,Unknown,13,21,33,0
nikhiljindal," Mountain View, California ",14,2,76,2
nikiparmar,Unknown,5,3,28,0
nilsbarth,Unknown,0,0,16,0
nirster, Israel ,7,24,21,10
nirum," Mountain View, CA ",57,386,69,31
nitobuendia, Singapore ,3,21,6,2
nixprime,Unknown,7,0,31,3
nkrishnaswami," New York, NY ",20,4,13,12
nkubala, San Francisco ,38,35,37,6
nlativy, London ,5,49,67,5
nmasharani,Unknown,22,2,24,0
nmittler," Santa Clara, CA ",27,7,88,3
nodirt, Bay Area ,39,29,150,27
nof20," New York City, NY ",24,71,7,14
nohe427," Sunnyvale, CA ",56,49,37,72
nottombrown, San Francisco ,133,842,183,101
npaglieri," Sydney, Australia ",1,5,8,0
Nurdok, Israel ,18,42,35,11
nvll,Unknown,22,8,256,0
nya3jp," Tokyo, Japan ",19,8,35,0
nyaxt," Tokyo, Japan ",28,17,47,0
oahziur,Unknown,22,129,66,5
oaktowner,Unknown,10,5,33,1
oalami," San Francisco, CA ",18,26,109,4
objcode," Mountain View, CA ",27,14,36,2
objecthub," Zurich, Switzerland ",3,21,14,7
obsc,Unknown,16,0,15,0
ochafik, London ,114,245,178,19
ocsig, Amsterdam ,4,0,5,0
odejesush," San Jose, CA ",6,0,0,0
oferb,Unknown,10,0,7,0
ohayon," Boston, MA ",16,243,86,24
oldjunyi, Singapore ,18,6,23,2
olegshaldibin, San Francisco CA ,10,34,39,4
oliverchang, SF Bay Area ,13,19,24,4
omerkling,Unknown,3,1,8,0
omerziv," Brooklyn, NY ",2,6,20,1
OmidTahouri," Guildford/London, United Kingdom ",7,15,10,5
opozo, Bay Area ,4,86,19,86
oprypin," Stockholm, Sweden ",55,237,75,1
oreztixe,Unknown,0,0,13,0
Orphis," Stockholm, Sweden ",23,7,33,3
oscardelben, Zurich ,88,123,258,16
oxddr,Unknown,7,14,0,0
oyiptong," Burlingame, CA ",69,54,39,28
pakhandi," Allahabad, UP, India ",37,40,105,15
palcu," London, United Kingdom ",90,575,203,201
palladius, Zurich ,119,150,47,28
pames,Unknown,2,9,56,21
pasindud,Unknown,67,152,130,5
pasko,Unknown,9,15,76,12
patflynn, New York City ,24,18,29,10
patlillis," Boulder, CO ",30,650,21,61
patrickbaumann," Mountain View, CA ",19,46,11,10
patrickhulce," San Jose, CA ",89,90,103,12
patspam," Melbourne, Australia ",43,60,51,14
paulangton," Boston, MA ",10,9,10,10
paulb777," Alameda, California US ",43,59,99,6
paulirish, Palo Alto ,269,726,25.9k,245
paullewis," London, United Kingdom ",18,4,2.1k,11
paulpooch," New York, NY ",13,239,12,34
paulrossman," Seattle, WA ",20,5,66,13
pavelgj,Unknown,23,8,150,5
paween," Mountain View, CA ",3,2,5,0
pbalaram," San Francisco, CA ",3,8,9,0
